,artist,collab,weight
12296,Waka Flocka Flame,Loudiene,5
12297,Waka Flocka Flame,Jimmy Rocket,5
12298,Waka Flocka Flame,Stokes,1
12299,Neon Dreams,DJ Whoo Kid,1
12300,Neon Dreams,Stokes,1
12301,DJ Whoo Kid,Stokes,1
12302,Waka Flocka Flame,"Tyler, The Creator",2
12303,Waka Flocka Flame,D Dash,3
12304,"Tyler, The Creator",D Dash,1
12305,Waka Flocka Flame,B Ceeze,1
12306,Frenchie,B Ceeze,1
12307,Waka Flocka Flame,Wale,3
12308,Roscoe Dash,Wale,4
12309,Waka Flocka Flame,Lil Capp,13
12310,Waka Flocka Flame,Soulja Boy,1
12311,D Dash,Wooh Da Kid,1
12312,Waka Flocka Flame,Tay Beatz,2
12313,YG Hootie,Slim Dunkin,4
12314,Waka Flocka Flame,Cartel MGM,18
12315,Waka Flocka Flame,Kinto,3
12316,Cartel MGM,Lil Capp,2
12317,Cartel MGM,Kinto,2
12318,Lil Capp,Kinto,2
12319,Waka Flocka Flame,Dorrough Music,1
12320,Waka Flocka Flame,Shawty Lo,2
12321,Waka Flocka Flame,Rayven Justice,1
12322,Waka Flocka Flame,1017 Brick Squad,1
12323,Waka Flocka Flame,J Dubb,1
12324,Loudiene,J Dubb,1
12325,Waka Flocka Flame,Krazy Blacx,2
12326,Loudiene,Krazy Blacx,2
12327,Waka Flocka Flame,Sancho,1
12328,Waka Flocka Flame,Flippa,1
12329,Sancho,Flippa,1
12330,Waka Flocka Flame,BC,2
12331,Waka Flocka Flame,Speedy,1
12332,BC,Speedy,1
12333,Waka Flocka Flame,Leiffy Luciano,1
12334,Leiffy Luciano,Jimmy Rocket,1
12335,Waka Flocka Flame,Kidd Jayy,1
12336,Waka Flocka Flame,Junior,1
12337,Waka Flocka Flame,Ace,1
12338,Jimmy Rocket,Kidd Jayy,1
12339,Jimmy Rocket,Junior,1
12340,Jimmy Rocket,Ace,1
12341,Kidd Jayy,Junior,1
12342,Kidd Jayy,Ace,1
12343,Junior,Ace,1
12344,Waka Flocka Flame,Speed,1
12345,Loudiene,Speed,1
12346,Speed,Krazy Blacx,1
12347,Waka Flocka Flame,T.I.,1
12348,Waka Flocka Flame,Ben G,2
12349,Waka Flocka Flame,Blair Maxberry,4
12350,Cartel MGM,Young Scooter,1
12351,Waka Flocka Flame,Ace Hood,1
12352,Frenchie,French Montana,1
12353,Waka Flocka Flame,Quez of Travis Porter,1
12354,Waka Flocka Flame,Adrian Marcel,1
12355,Waka Flocka Flame,Kebo Gotti,8
12356,Cartel MGM,Kebo Gotti,1
12357,Cartel MGM,Gucci Mane,1
12358,Lil Capp,Kebo Gotti,1
12359,Lil Capp,Gucci Mane,1
12360,Kebo Gotti,Gucci Mane,1
12361,Slim Dunkin,Wooh Da Kid,4
12362,Waka Flocka Flame,Sosay,1
12363,Waka Flocka Flame,Chaz Gotti,8
12364,Sosay,Chaz Gotti,1
12365,Waka Flocka Flame,YOUNG SIZZLE,12
12366,Waka Flocka Flame,Gorilla Zoe,2
12367,Tay Beatz,Gorilla Zoe,1
12368,Slim Dunkin,Kebo Gotti,2
12369,Slim Dunkin,Lil Capp,2
12370,Kebo Gotti,Lil Capp,1
12371,Wooh Da Kid,Slim Dunkin,5
12372,Waka Flocka Flame,B-Ceezy,1
12373,Slim Dunkin,B-Ceezy,1
12374,Waka Flocka Flame,Da President,1
12375,Lil Capp,Da President,1
12376,Waka Flocka Flame,Amanda,1
12377,Slim Dunkin,Amanda,1
