,artist,collab,weight
1665,Dada Life,Anthony Mills,4
1666,Dada Life,Funkin Matt,1
1667,Anthony Mills,Funkin Matt,1
1668,Dada Life,Steff da Campo,1
1669,Dada Life,Hardwell,1
1670,Dada Life,Stadiumx,1
1671,Dada Life,RABBII,4
1672,Dada Life,Damien N-Drix,1
1673,RABBII,Anthony Mills,2
1674,RABBII,Damien N-Drix,1
1675,Anthony Mills,Damien N-Drix,1
1676,Dada Life,Sound Of Legend,1
1677,Dada Life,Max White,2
1678,Dada Life,Game Over Djs,1
1679,Max White,Game Over Djs,1
1680,Dada Life,Mike Williams,1
1681,Dada Life,Teamworx,1
1682,Dada Life,Jose De Mara,1
1683,Dada Life,Crusy,1
1684,RABBII,Jose De Mara,1
1685,RABBII,Crusy,1
1686,Jose De Mara,Crusy,1
1687,Dan Black,Kelis,2
1688,Dan Black,Imogen Heap,2
1689,Dan Black,Kid Cudi,1
1690,Rebecca,Smaven,1
1691,Adam.K,Soha,1
1692,Mike Hawkins,Disfunk,2
1693,Mike Hawkins,Oisín,2
1694,Mike Hawkins,Dave Winnel,2
1695,Disfunk,Oisín,2
1696,Disfunk,Dave Winnel,2
1697,Oisín,Dave Winnel,2
1698,Flatdisk,Bitter's Kiss,2
1699,Corey James,Teamworx,2
1700,Corey James,Kobi The Alien,2
1701,Teamworx,Kobi The Alien,2
1702,Michael Feiner,Fraanklyn,2
1703,Michael Feiner,Madwill,2
1704,Michael Feiner,Simon De Jano,2
1705,Fraanklyn,Madwill,2
1706,Fraanklyn,Simon De Jano,2
1707,Madwill,Simon De Jano,2
1708,Max Vangeli,Mackenzie Thoms,2
1709,Max Vangeli,Francis Marvel,2
1710,Max Vangeli,Kacie Marie,2
1711,Francis Marvel,Kacie Marie,2
1712,Afrojack,Laidback Luke,2
1713,Afrojack,Hawkboy,2
1714,Laidback Luke,Hawkboy,2
1715,Max Vangeli,Flatdisk,2
1716,Tommy Trash,NGHTMRE,2
1717,eSQUIRE,Petch,1
1718,eSQUIRE,Sian Evans,1
1719,Petch,Sian Evans,1
1720,Tiësto,An21 & Max Vangeli,1
1721,Tiësto,Lover Lover,1
1722,An21 & Max Vangeli,Lover Lover,1
1723,An21 & Max Vangeli,Bnann,1
1724,Congorock,An21 & Max Vangeli,1
1725,An21 & Max Vangeli,Julie Mc Kinight,1
1726,Steve Angello,An21 & Max Vangeli,1
1727,Michael Woods,An21 & Max Vangeli,1
1728,An21 & Max Vangeli,Example,1
1729,MOGUAI,An21 & Max Vangeli,1
1730,Kim Fai,An21 & Max Vangeli,1
1731,An21 & Max Vangeli,Rudy,1
1732,Sultan + Shepard,Fractures,1
1733,Sultan + Shepard,Nathan Nicholson,1
1734,Sultan + Shepard,Richard Walters,2
1735,Sultan + Shepard,The Cut,1
1736,Sultan + Shepard,Mougleta,4
1737,Sultan + Shepard,Rock Mafia,2
1738,Sultan + Shepard,Bahari,2
1739,Rock Mafia,Bahari,2
1740,Sultan + Shepard,Showtek,1
1741,Tritonal,Sultan + Shepard,2
1742,Tritonal,Zach Sorgen,2
1743,Sultan + Shepard,Zach Sorgen,2
1744,Sultan + Shepard,Carla Monroe,1
1745,Sultan + Shepard,Page,2
1746,Adrian Lux,Dante,2
1747,Adrian Lux,And Then,3
1748,Adrian Lux,Rebecca,1
1749,Adrian Lux,Fiona,1
1750,Adrian Lux,Axel Bauer,2
1751,Adrian Lux,Lune,5
1752,Adrian Lux,Ivan Gough,1
1753,Adrian Lux,Feenixpawl,1
1754,Dante,Ivan Gough,1
1755,Dante,Feenixpawl,1
1756,Ivan Gough,Feenixpawl,1
1757,Adrian Lux,Joakim Berg,1
1758,Adrian Lux,Bauer,1
1759,Adrian Lux,Lanford,1
1760,Bauer,Lanford,1
1761,Adrian Lux,Avicii,3
1762,Adrian Lux,PHiL GooD,1
1763,Avicii,PHiL GooD,1
1764,Adrian Lux,Ken Loi,1
1765,Adrian Lux,Franz Novotny,1
1766,And Then,Franz Novotny,1
1767,Adrian Lux,Rebecca & Fiona,1
1768,Adrian Lux,Hardwell,1
1769,Rebecca & Fiona,Hardwell,1
1770,Adrian Lux,The Good Natured,2
1771,Adrian Lux,R3HAB,2
1772,Lune,R3HAB,2
1773,Adrian Lux,Philgood,1
1774,Avicii,Philgood,1
1775,Adrian Lux,Jef Martens,1
1776,The Good Natured,Jef Martens,1
1777,Justin Michael,Jason Lent,4
1778,Justin Michael,Gina Rene,2
1779,Justin Michael,Blake Reary,1
1780,Justin Michael,Donnie Romello,3
1781,Blake Reary,Donnie Romello,1
1782,Justin Michael,Tre Hardson,1
1783,EDX,Mingue,1
1784,EDX,Hadley,8
1785,EDX,Nadia Ali,4
1786,EDX,John Williams,9
1787,EDX,Sam Obernik,6
1788,EDX,Sarah McLeod,9
1789,EDX,Tamra Keenan,12
1790,EDX,Seamus Haji,5
1791,EDX,Jerique,3
1792,Seamus Haji,Jerique,3
1793,EDX,CAZZETTE,1
1794,Hadley,CAZZETTE,1
1795,EDX,Jerique Allan,2
1796,Seamus Haji,Jerique Allan,2
1797,EDX,CAZETTE,1
1798,Hadley,CAZETTE,1
1799,EDX,Arston,1
1800,EDX,Andrew Bennett,1
1801,Nadia Ali,Andrew Bennett,1
1802,EDX,Mysto & Pizzi,1
1803,John Williams,Mysto & Pizzi,1
1804,EDX,Antonio Giacca,1
1805,Sam Obernik,Antonio Giacca,1
1806,EDX,Tommy Trash,1
1807,Sarah McLeod,Tommy Trash,1
1808,EDX,Luke Carpenter,1
1809,EDX,Inpetto,1
1810,Tamra Keenan,Inpetto,1
1811,EDX,Hailing Jordan,1
1812,EDX,Mor Avrahami,1
1813,EDX,Third District,1
1814,EDX,Cedric Zeyenne,1
1815,EDX,Nelski,1
1816,Seamus Haji,Nelski,1
1817,Jerique,Nelski,1
1818,Kwan Hendry,SoulCream,1
1819,AstroShift,Krista Richards,1
1820,AstroShift,S69,1
1821,Krista Richards,S69,1
1822,E.P.I.C.,Julie Thompson,1
1823,John Dahlbäck,Henrik B,1
1824,Chris Reece,Romina Andrews,1
1825,Incognet,Mad Max,1
1826,Halbro,KhoMha,1
1827,Dabruck & Klein,Julian Smith,1
1828,Dabruck & Klein,Gregori Klosman,1
1829,Julian Smith,Gregori Klosman,1
1830,Green Velvet,Nicky Romero,1
1831,Dinka,Inpetto,1
1832,Dobenbeck,Chris Reece,1
1833,EDX,SIKK,1
1834,EDX,Helvetic Nerds,2
1835,The Radio K,Chris Reece,1
1836,EDX,Sucker DJ's,1
1837,Daniel Portman,Helvetic Nerds,1
1838,Dinka,DJ Chus,1
1839,Clinton Brown,Tony Gomez,1
1840,The Cruzaders,Veerus,1
1841,The Cruzaders,Maxie Devine,1
1842,Veerus,Maxie Devine,1
1843,EDX,Passenger 10,1
1844,Felipe Kaval,Leventina,1
1845,Tatana,Martin Roth,1
